26-04-2018,03:01:03PM,SystemID,SystemClock,BoardName,TelemDelay,TimeOut,Pwr,ADCS,Exp1,BoardName,DH,Exp,Ref,Panel_A,Panel_B,Base,Top_A,Top_B,BoardName,Sep,V_Batt,I_Batt,V_SA,I_SA,I_MB,V_5v,I_5v,V_3v,I_3v,S,T_Batt,T_SA1,T_SA2,BoardName,s_T,s_B,s0,s90,s180,s270,ya,sa,M_X,M_Y,M_Z,A_X,A_Y,A_Z,X,Y,rps_out,rps_cmd,PWM_out,alg,P,I,D,deltaT,db,g,sunA,e,hyst,Eccentricity,SemimajorAxis,Inclination,LongitudeOfAscendingNode,ArgumentOfPeriapsis,True Anomaly,Rotation Speed
26-04-2018,03:01:21PM,ES0,20:1:21,I,2,1,1,0,0,T,29.800000,-4.700000,26.800000,-4.700000,-4.700000,-4.700000,-4.700000,-4.700000,P,0,8.230000,2.930000,0.040000,-0.550000,124.400000,5.000000,0.000000,0.000000,0.000000,4,0.340000,0.040000,0.000000,A,0,37,0,5,10,0,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,20.000000,0.000000,0,0,2.000000,0.100000,0.100000,1,100.000000,0.500000,30.000000,5.000000,4.000000,0.000000,6760.600000,0.000000,0.000000,0.000000,0.000000,0.000000
26-04-2018,03:01:26PM,VCS0,20:1:22,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,24.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,6760.600000,10.000000,0.000000,1.900000,96.000000,1.500000
26-04-2018,03:01:26PM,VCS1,20:1:22,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,25.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,6761.600000,11.000000,1.000000,2.900000,97.000000,2.500000
26-04-2018,03:01:26PM,VCS2,20:1:22,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,26.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.000000,6762.600000,12.000000,2.000000,3.900000,98.000000,3.500000
26-04-2018,03:01:26PM,VCS3,20:1:22,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,24.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,6760.600000,10.000000,0.000000,1.900000,96.000000,1.500000
26-04-2018,03:01:26PM,VCS4,20:1:22,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,25.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,6761.600000,11.000000,1.000000,2.900000,97.000000,2.500000
26-04-2018,03:01:26PM,VCS5,20:1:22,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,26.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.000000,6762.600000,12.000000,2.000000,3.900000,98.000000,3.500000
26-04-2018,03:01:28PM,ES0,20:1:28,I,2,1,1,0,0,T,29.800000,-4.700000,26.800000,-4.700000,-4.700000,-4.700000,-4.700000,-4.700000,P,0,8.000000,2.000000,0.000000,0.000000,126.000000,5.000000,119.000000,3.000000,3.000000,0,25.000000,23.000000,-4.000000,A,611,54,380,288,528,484,232.900000,0.000000,0.100000,-2.422000,4.170000,0.088000,-0.072000,0.872000,0,0,0.000000,0.000000,0,0,2.000000,0.100000,0.100000,1,10.000000,0.500000,30.000000,5.000000,4.000000,0.000000,6760.600000,0.000000,0.000000,0.000000,0.000000,0.000000
26-04-2018,03:01:30PM,VCS0,20:1:28,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,24.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,6760.600000,10.000000,0.000000,1.900000,96.000000,1.500000
26-04-2018,03:01:30PM,VCS1,20:1:28,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,25.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,6761.600000,11.000000,1.000000,2.900000,97.000000,2.500000
26-04-2018,03:01:30PM,VCS2,20:1:28,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,26.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.000000,6762.600000,12.000000,2.000000,3.900000,98.000000,3.500000
26-04-2018,03:01:30PM,VCS3,20:1:28,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,24.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,6760.600000,10.000000,0.000000,1.900000,96.000000,1.500000
26-04-2018,03:01:30PM,VCS4,20:1:28,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,25.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,6761.600000,11.000000,1.000000,2.900000,97.000000,2.500000
26-04-2018,03:01:30PM,VCS5,20:1:28,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,26.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.000000,6762.600000,12.000000,2.000000,3.900000,98.000000,3.500000
26-04-2018,03:01:32PM,ES0,20:1:32,I,4,1,1,1,0,T,29.800000,-4.700000,26.800000,-4.700000,-4.700000,-4.700000,-4.700000,-4.700000,P,0,8.000000,2.000000,0.000000,0.000000,126.000000,5.000000,119.000000,3.000000,3.000000,0,25.000000,23.000000,-4.000000,A,608,54,379,287,529,483,232.600000,0.000000,0.102000,-2.413000,4.188000,0.072000,-0.056000,0.928000,0,0,0.000000,0.000000,0,0,2.000000,0.100000,0.100000,1,10.000000,0.500000,30.000000,5.000000,4.000000,0.000000,6760.600000,0.000000,0.000000,0.000000,0.000000,-0.075000
